Kood;Vanem;Tegevusala tekst;SIIA KUULUB;SIIA KUULUB VEEL;SIIA EI KUULU;ERIALALIIDUD;ON ERINÕUDEID?
77399;7739;Muu mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;"Siia klassi kuulub:
- maismaatranspordivahendite (v.a mootorsõidukid) rentimine ja kasutusrent ilma juhita, nt haagissuvilad
- rehvide rentimine
- ürituste, messide ja näituste varustuse rentimine, nt elektri-, valgus-, heli- ja lavatehnika jaoks
- mööbli rentimine üritusteks, laatadeks ja näitusteks
- meditsiini- ja haiglatehnika rentimine
- mänguautomaatide rentimine ja kasutusrent
Muude peamiselt tööstusettevõtete poolt kasutatavate ja materiaalse vara hulka loetavate masinate ja seadmete rentimine ja kasutusrent, ilma operaatorita:
- mootorid ja turbiinid
- tööpingid
- kaevandus- ja naftaväljade seadmed
- professionaalsed raadio-, televisiooni- ja sideseadmed
- kinofilmide tootmisseadmed
- mõõte- ja kontrollseadmed
- muud teadus-, kaubandus- ja tööstusmasinad
Siia klassi kuulub ka:
- konteinerite rentimine, mille sisuks on majutus- või kontoriruumid
- loomade rentimine (nt kariloomad, võidusõiduhobused)
- muude konteinerite rentimine
- kaubaaluste rentimine";"kohvi- ja joogiautomaatide rentimine
teisaldatavate müügikioskite rentimine";"mootorrataste rentimine, vt 77111
jalgrataste rentimine, vt 77211
põllu- ja metsatöömasinate ja -seadmete rentimine, vt 77311
ehitusmasinate ja -seadmete rentimine, vt 77321
kontorimasinate ja -seadmete, k.a arvutite rentimine, vt 77331";;JAH
774;77;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;;;;;EI
7740;774;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;"Siia klassi kuuluvad tegevused, mis võimaldavad teistel kasutada intellektuaalomandi alla kuuluvaid tooteid ja nendele sarnaseid tooteid, mille eest makstakse toote omanikule (st vara omanikule) kasutustasu või litsentsitasu. Nende toodete rent võib toimuda erineval kujul, nt luba reprodutseerimiseks, kasutamiseks järgmistes protsessides või toodetes, ettevõtete frantsiisi alusel tegutsemine. Tooted võivad olla praeguste omanike poolt loodud, kuid ei pruugi seda olla.
Siia klassi kuulub:
- intellektuaalomandi hulka kuuluvate toodete rent (v.a autoriõigusega kaitstud teosed, nt raamatud, tarkvara)
- autoritasude või litsentsitasude saamine järgmiste objektide kasutamise eest:
 • patenteeritud üksused
 • kaubamärgid või teenusemärgid
 • brändinimed
 • maavarade uurimine ja hindamine
 • frantsiisilepingud
 • internetidomeenid
 • disainitud või arendatud lauamängude õigused
Siia klassi kuulub ka:
- teadusuuringute tulemuste eest autoritasude või litsentsitasude saamine";;"õiguste omandamine ja kirjastamine, vt osad 58, 59
autoriõigustega kaitstud teoste (raamatud, tarkvara, filmid) tootmine, reprodutseerimine ja levitamine, vt osad 58, 59
sisu (nt tarkvara, raamatud) voogedastus sisu väljaandja poolt, vt osa 58
audioraamatute voogedastustegevused, mis ei ole seotud nende kirjastamisega, vt 6010
kinnisvara kasutusrent, vt 6820
materiaalsete toodete (varade) kasutusrent, vt 771, 772, 773";;EI
77401;7740;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;"Siia klassi kuuluvad tegevused, mis võimaldavad teistel kasutada intellektuaalomandi alla kuuluvaid tooteid ja nendele sarnaseid tooteid, mille eest makstakse toote omanikule (st vara omanikule) kasutustasu või litsentsitasu. Nende toodete rent võib toimuda erineval kujul, nt luba reprodutseerimiseks, kasutamiseks järgmistes protsessides või toodetes, ettevõtete frantsiisi alusel tegutsemine. Tooted võivad olla praeguste omanike poolt loodud, kuid ei pruugi seda olla.
Siia klassi kuulub:
- intellektuaalomandi hulka kuuluvate toodete rent (v.a autoriõigusega kaitstud teosed, nt raamatud, tarkvara)
Autoritasude või litsentsitasude saamine järgmiste objektide kasutamise eest:
- patenteeritud üksused
- kaubamärgid või teenusemärgid
- brändinimed
- maavarade uurimine ja hindamine
- frantsiisilepingud
- internetidomeenid
- disainitud või arendatud lauamängude õigused
Siia klassi kuulub ka:
- teadusuuringute tulemuste eest autoritasude või litsentsitasude saamine";CO2 kvoodimüük (vahendusteenus);"õiguste omandamine ja kirjastamine, vt osad 58, 59
autoriõigustega kaitstud teoste (raamatud, tarkvara, filmid) tootmine, reprodutseerimine ja levitamine, vt osad 58, 59
sisu (nt tarkvara, raamatud) voogedastus sisu väljaandja poolt, vt osa 58
audioraamatute voogedastustegevused, mis ei ole seotud nende kirjastamisega, vt 60101
kinnisvara kasutusrent, vt 68201
materiaalsete toodete (varade) kasutusrent, vt 771, 772, 773";;EI
775;77;Materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;;;;;EI
7751;775;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;"Siia klassi kuulub sõiduautode, autoelamute, mootorrataste, haagissuvilate jms rentimise ja kasutusrendi vahendamine, st klientide ja teenusepakkujate kokkuviimine tasu või vahendustasu eest, ilma et vahendaja ise osutaks vahendatavaid rendi- ja kasutusrenditeenuseid. Vahendusteenused võivad toimuda digitaalsetel platvormidel või mittedigitaalsete kanalite kaudu (sh isiklik müük, k.a lävemüük, telefoni või posti teel jne). Tasu või vahendustasu võib saada kliendilt või rendi- ja kasutusrenditeenuse pakkujalt. Vahendusteenusest saadav tulu võib hõlmata ka muid tuluallikaid, nt reklaamipinna müügist saadavaid tulusid.
Siia klassi kuulub ka:
- autorendi broneerimisteenused";;"kergsõidukite rentimine, vt 7711
raskeveokite rentimine, nt autoelamud, vt 7712
haagissuvilate rentimine, vt 7739";;EI
77511;7751;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;"Siia klassi kuulub sõiduautode, autoelamute, mootorrataste, haagissuvilate jms rentimise ja kasutusrendi vahendamine, st klientide ja teenusepakkujate kokkuviimine tasu või vahendustasu eest, ilma et vahendaja ise osutaks vahendatavaid rendi- ja kasutusrenditeenuseid. Vahendusteenused võivad toimuda digitaalsetel platvormidel või mittedigitaalsete kanalite kaudu (sh isiklik müük, k.a lävemüük, telefoni või posti teel jne). Tasu või vahendustasu võib saada kliendilt või rendi- ja kasutusrenditeenuse pakkujalt. Vahendusteenusest saadav tulu võib hõlmata ka muid tuluallikaid, nt reklaamipinna müügist saadavaid tulusid.
Siia klassi kuulub ka:
- autorendi broneerimisteenused";;"kergsõidukite rentimine, vt 77111
raskeveokite rentimine, nt autoelamud, vt 77121
haagissuvilate rentimine, vt 77399";;EI
7752;775;Muu materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;"Siia klassi kuulub muu materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendamine, st klientide ja teenuseosutajate kokkuviimise teel tasu või vahendustasu eest, ilma et vahendaja ise osutaks vahendatavaid rendi- ja kasutusrenditeenuseid. Vahendusteenused võivad toimuda digitaalsetel platvormidel või mittedigitaalsete kanalite kaudu (isiklik müük, k.a lävemüük, telefoni või posti teel jne). Tasu või vahendustasu võib saada kas kliendilt või renditeenuse osutajalt. Vahendusteenusest saadav tulu võib hõlmata ka muid tuluallikaid, nt reklaamipinna müügist saadavaid tulusid.
Siia klassi kuulub:
- vahendamine oma kaupu (nt muruniidukeid, redeleid, jalgrattaid) rendile pakkuvate ning neid kaupu rentida soovivate kodumajapidamiste vahel";;"tarbe- ja kodukaupade rentimine ja kasutusrent, vt 772
üksused, kes omavad muid masinaid, seadmeid vm materiaalset vara ja/või immateriaalset vara (v.a finantsvara), mida antakse rendile või kasutusrendile, vt 773 ja 7740";;EI
77521;7752;Muu materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;"Siia klassi kuulub muu materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendamine, st klientide ja teenuseosutajate kokkuviimise teel tasu või vahendustasu eest, ilma et vahendaja ise osutaks vahendatavaid rendi- ja kasutusrenditeenuseid. Vahendusteenused võivad toimuda digitaalsetel platvormidel või mittedigitaalsete kanalite kaudu (isiklik müük, k.a lävemüük, telefoni või posti teel jne). Tasu või vahendustasu võib saada kas kliendilt või renditeenuse osutajalt. Vahendusteenusest saadav tulu võib hõlmata ka muid tuluallikaid, nt reklaamipinna müügist saadavaid tulusid.
Siia klassi kuulub:
- vahendamine oma kaupu (nt muruniidukeid, redeleid, jalgrattaid) rendile pakkuvate ning neid kaupu rentida soovivate kodumajapidamiste vahel";;"tarbe- ja kodukaupade rentimine ja kasutusrent, vt 772
üksused, kes omavad muid masinaid, seadmeid vm materiaalset vara ja/või immateriaalset vara (v.a finantsvara), mida antakse rendile või kasutusrendile, vt 773 ja 7740";;EI
78;O;Tööhõive;"Siia ossa kuuluvad vabade töökohtade registri pidamine ja tööotsijate soovitamine või suunamine tööandja poolt esitatud vabadele töökohtadele, kusjuures tööotsijad ise ei ole tööhõiveasutuste töötajad. Siia kuulub ka ettevõtete varustamine (ajutise) lisatööjõuga ning muud personaliga varustamise tegevused.
Siia ossa kuulub:
- personaliotsingu ja -suunamise tegevus
- näitlejate rolliproovide korraldamisega tegelevate agentuuride tegevus
- värbamisagentuuride tegevus
- personali sihtotsingu (headhunting) tegevused";;üksikartiste (näitlejad, kunstnikud jne) esindavate agentide tegevus, vt 7499;"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
781;78;Tööhõiveagentuuride tegevus;;;;;EI
7810;781;Tööhõiveagentuuride tegevus;"Siia klassi kuulub vabade töökohtade registri pidamine ja tööotsijate soovitamine või suunamine tööandja poolt esitatud vabadele töökohtadele, kusjuures tööotsijad ise ei ole tööhõiveasutuste töötajad.
Siia kuulub:
- personaliotsing, kandidaatide valik ja värbamine, k.a tippjuhtide sihtotsing
- castinguagentuuride tegevus, nt näitlejate või modellide leidmisega tegelevad agentuurid
- veebipõhiste töövahendusagentuuride tegevus
Siia klassi kuulub ka: 
- talendiotsijate tegevus";;"arvepidamisteenused, vt 6920
üksikartiste esindavate agentide tegevus, vt 7499
kodumajapidamistele lapsehoidjate ja au pair'ide teenuseid pakkuvate agentuuride tegevus, vt 7820";;JAH
78101;7810;Tööhõiveagentuuride tegevus;"Siia klassi kuulub vabade töökohtade registri pidamine ja tööotsijate soovitamine või suunamine tööandja poolt esitatud vabadele töökohtadele, kusjuures tööotsijad ise ei ole tööhõiveasutuste töötajad.
Siia kuulub:
- personaliotsing, kandidaatide valik ja värbamine, k.a tippjuhtide sihtotsing
- castinguagentuuride tegevus, nt näitlejate või modellide leidmisega tegelevad agentuurid
- veebipõhiste töövahendusagentuuride tegevus
Siia klassi kuulub ka: 
- talendiotsijate tegevus";;"arvepidamisteenused, vt 69202
üksikartiste esindavate agentide tegevus, vt 74991
kodumajapidamistele lapsehoidjate ja au pair'ide teenuseid pakkuvate agentuuride tegevus, vt 78209";;JAH
782;78;Tööjõurent ja muud tööjõuteenused;;;;;EI
7820;782;Tööjõurent ja muud tööjõuteenused;"Siia klassi kuuluvad tegevused, mille käigus pakutakse klientide ettevõtetele teatud ajavahemikul renditööjõudu, et ajutiselt asendada või täiendada kliendi tööjõudu. Sellise töökorralduse puhul on renditöötaja tööandjaks ajutise tööhõive asutus või tööjõurendiagentuur. Ajutise personali juhtimise kohustus on siiski kliendiks oleval ettevõttel.
Tegevusteks on ettevõtetele personaliteenuste pakkumine. Siia liigituvad üksused vastutavad ajutiste töötajate palgaarvestuse, maksude ja muude fiskaal- ja personaliküsimustega seotud ülesannete eest, kuid nad ei vastuta töötajate otsese juhtimise ja järelevalve eest. Siia liigitatud üksused täidavad oma teenustega seoses mitmesuguseid personalitöö ülesandeid.";;arvepidamisteenused, vt 6920;;JAH
78201;7820;Tööjõurent;Siia klassi kuuluvad tegevused, mille käigus pakutakse klientide ettevõtetele teatud ajavahemikul renditööjõudu, et ajutiselt asendada või täiendada kliendi tööjõudu. Sellise töökorralduse puhul on renditöötaja tööandjaks ajutise tööhõive asutus või tööjõurendiagentuur. Ajutise personali juhtimise kohustus on siiski kliendiks oleval ettevõttel.;;arvepidamisteenused, vt 69202;;JAH
78209;7820;Muud tööjõuteenused;Tegevusteks on ettevõtetele personaliteenuste pakkumine. Siia liigituvad üksused vastutavad ajutiste töötajate palgaarvestuse, maksude ja muude fiskaal- ja personaliküsimustega seotud ülesannete eest, kuid nad ei vastuta töötajate otsese juhtimise ja järelevalve eest. Siia liigitatud üksused täidavad oma teenustega seoses mitmesuguseid personalitöö ülesandeid.;;arvepidamisteenused, vt 69202;;JAH
79;O;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;"Siia ossa kuuluvad reisibürood, mis peamiselt tegelevad valmisreiside või klientide tellimusel koostatud reisipakettide (transport, majutus, meelelahutus, giidi- vm teenused) müügiga era- ja äriklientidele; pakettreiside korraldamine, mida müüakse reisibüroode kaudu või otse reisikorraldajate poolt; muud reisimisega seotud teenused, k.a broneerimisteenused.
Siia ossa kuulub ka: 
- giidide tegevus ja turismi edendavad tegevused
- reisimisega seotud vahendusteenused";;"ainult sõitjateveoga seotud vahendusteenused, vt 5232
ainult majutusega seotud vahendusteenused, vt 5540
toidu ja joogi serveerimise vahendusteenused, vt 5640
vahendusteenused autode, matkaautode ja haagiste rentimisel, vt 7751
meelelahutus-, spordi- ja teatripiletite vahendusteenused, vt 8240";"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Turismi- ja Reisifirmade Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
